Year ,Submitted ,Accepted ,Rate,citation count,citation per paper,acm link,hyperlink
SIGGRAPH '74,,,,,,citation.cfm?id=563182,
SIGGRAPH '75,,,,,,citation.cfm?id=563732,
SIGGRAPH '76,,,,,,citation.cfm?id=563274,
SIGGRAPH '77,,,,,,citation.cfm?id=563858,
SIGGRAPH '78,,,,,,citation.cfm?id=800248,
SIGGRAPH '79,,,,,,citation.cfm?id=800249,
SIGGRAPH '80,,,,,,citation.cfm?id=800250,
SIGGRAPH '81,,,,,,citation.cfm?id=800224,
SIGGRAPH '82,,,,,,citation.cfm?id=800064,
SIGGRAPH '83,,,,,,citation.cfm?id=800059,
SIGGRAPH '84,,,,,,citation.cfm?id=800031,
SIGGRAPH '85,,,,,,citation.cfm?id=325334,
SIGGRAPH '86,,,,,,citation.cfm?id=15922,
SIGGRAPH '87,,,,,,citation.cfm?id=37401,
SIGGRAPH '88,,,,,,citation.cfm?id=54852,
SIGGRAPH '89,,,,,,citation.cfm?id=74333,
SIGGRAPH '90,,,,,,citation.cfm?id=97879,
SIGGRAPH '91,,,,,,citation.cfm?id=122718,
SIGGRAPH '92,,,,,,citation.cfm?id=133994,
SIGGRAPH '93,,,,,,citation.cfm?id=166117,
SIGGRAPH '94,,,,,,citation.cfm?id=192161,
SIGGRAPH '95,,,,,,citation.cfm?id=218380,
SIGGRAPH '96,,,,,,citation.cfm?id=237170,
SIGGRAPH '97,,,,,,citation.cfm?id=258734,
SIGGRAPH '98,,,,,,citation.cfm?id=280814,
SIGGRAPH '99,,,,,,citation.cfm?id=311535,
SIGGRAPH '00,,,,,,citation.cfm?id=344779,
SIGGRAPH '01,,,,,,citation.cfm?id=383259,
SIGGRAPH '02,,,,,,citation.cfm?id=566570,
SIGGRAPH '03,,,,,,citation.cfm?id=1201775,
SIGGRAPH '04,,,,,,citation.cfm?id=1186562,
SIGGRAPH '05,,,,,,citation.cfm?id=1186822,
SIGGRAPH '06,,,,,,citation.cfm?id=1179352,
SIGGRAPH '07,,,,,,citation.cfm?id=1275808,
SIGGRAPH '08,,,,,,citation.cfm?id=1399504,
SIGGRAPH '09,,,,,,citation.cfm?id=1576246,
SIGGRAPH '10,,,,,,citation.cfm?id=1833349,
SIGGRAPH '11,,,,,,citation.cfm?id=1964921,